oepid,accreditor,pred_degree,highest_degree,control,region,admission_rate,ccbasic,in_state_tuit,out_state_tuit,prog_year_tuit,revenue_tuit,avg_faculty_salary,two_yr_default,three_yr_default,sat_avg,prop_loan,name,address,ZIP,fips,city,state,cbsa,csa,longitude,latitude,extracted_year
4271100,,Graduate,Graduate,Private For-Profit,Far West,,,,,,21987.0,5667.0,,,,,Meridian University,"Petaluma, CA - 47 Sixth Street",94952-3092,6.0,Petaluma,CA,42220.0,488.0,-122.640029,38.230878,2019-01-01
4271200,,Certificate,Associate,Private Non-Profit,Mid East,0.8056,,11665.0,11665.0,,6031.0,7541.0,,,,0.0,Seminary Bnos Chaim,"Lakewood, NJ - 269 Miller Road",08701-2336,34.0,Lakewood,NJ,35620.0,408.0,-74.246731,40.098481,2019-01-01
4271600,,Certificate,Certificate,Private For-Profit,Southwest,,,,,18400.0,6898.0,,,,,0.4118,"Avenue Academy, A Cosmetology Institute","Albuquerque, NM - 6600 Menaul Boulevard Northeast Suite M002",87110-3449,35.0,Albuquerque,NM,10740.0,106.0,-106.570491,35.107227,2019-01-01
4271700,,Certificate,Certificate,Private For-Profit,Southwest,,,,,13800.0,22242.0,,,,,0.301,Salon Professional Academy of San Antonio,"San Antonio, TX - 16640 San Pedro Avenue",78232-2242,48.0,San Antonio,TX,41700.0,484.0,-98.47,29.59369,2019-01-01
4271800,,Associate,Associate,Public,Plains,,,,,4276.0,458.0,6124.0,,,,0.0,Red Lake Nation College,"Red Lake, MN - 15480 Migizi Drive",56671-0000,27.0,Red Lake,MN,13420.0,-2.0,-95.009828,47.880085,2019-01-01
4272100,,Certificate,Certificate,Private For-Profit,Far West,,,,,16875.0,2637.0,,,,,0.4643,Princess Institute of Beauty,"Reedley, CA - 1605 East Manning Avenue",93654-2455,6.0,Reedley,CA,23420.0,260.0,-119.431745,36.603678,2019-01-01
4272600,,Certificate,Certificate,Private For-Profit,Southwest,,,,,12971.0,31369.0,,,,,0.0,Vogue International Academy,"Houston, TX - 14099 Westheimer Rd.",77077-5423,48.0,Houston,TX,26420.0,288.0,-95.638805,29.734776,2019-01-01
4272800,,Certificate,Certificate,Private For-Profit,Far West,,,,,16500.0,17422.0,,,,,0.2167,Independent Training & Apprenticeship Program,"Sacramento, CA - 9856 Business Park Drive",95827-1741,6.0,Sacramento,CA,40900.0,472.0,-121.327728,38.572171,2019-01-01
4273300,,Certificate,Certificate,Private For-Profit,Far West,,,,,7100.0,5847.0,,,,,0.4412,Victory Career College,"Torrance, CA - 19401 South Vermont Avenue",90502-4434,6.0,Torrance,CA,31080.0,348.0,-118.291723,33.854769,2019-01-01
4273500,,Certificate,Certificate,Private For-Profit,Southeast,,,,,10000.0,6172.0,,,,,0.2698,Winonah's International School of Cosmetology,"Hoover, AL - 1870 Chace Drive",35244-7310,1.0,Hoover,AL,13820.0,142.0,-86.801546,33.370224,2019-01-01
4273800,,Associate,Associate,Private Non-Profit,Mid East,0.3333,,9050.0,9050.0,,5512.0,4473.0,,,,0.0,Yeshiva Gedola Tiferes Yerachmiel,"Lakewood, NJ - 911 Somerset Avenue",08701-0000,34.0,Lakewood,NJ,35620.0,408.0,-74.194376,40.1037,2019-01-01
4273900,,Certificate,Certificate,Private For-Profit,Southeast,,,,,9500.0,10002.0,,,,,0.4273,Southeastern Esthetics Institute,"Columbia, SC - 823 Gervais Street",29201-0000,45.0,Columbia,SC,17900.0,192.0,-81.039093,34.000033,2019-01-01
4274200,,Certificate,Certificate,Private For-Profit,Southeast,,,,,10100.0,45157.0,,,,,0.0,Installer Institute,"Holly Hill, FL - 1524 Ridgewood Avenue",32117-2220,12.0,Holly Hill,FL,19660.0,422.0,-81.046805,29.254565,2019-01-01
4274300,,Certificate,Associate,Private For-Profit,Great Lakes,,,,,28325.0,9260.0,4637.0,,,,0.1571,Caris College,"Jeffersonville, IN - 2780 Jefferson Centre Way, Suite 102",47130-8293,18.0,Jeffersonville,IN,31140.0,350.0,-85.710165,38.326417,2019-01-01
4274900,,Certificate,Certificate,Private For-Profit,Far West,,,,,3450.0,7823.0,,,,,0.0,Contra Costa Medical Career College,"Antioch, CA - 4041 Lone Tree Way",94581-6208,6.0,Antioch,CA,41860.0,488.0,-121.801607,37.976815,2019-01-01
4275100,,Certificate,Certificate,Private For-Profit,Mid East,,,,,15000.0,9776.0,,,,,0.0,Anousheh School of Hair,"Binghamton, NY - 1152 Vestal Avenue",13903-1559,36.0,Binghamton,NY,13780.0,-2.0,-75.917306,42.087554,2019-01-01
4275900,,Certificate,Certificate,Private For-Profit,Southeast,,,,,14438.0,14330.0,,,,,0.2727,Another Level Barbering and Cosmetology School,"Petersburg, VA - 102 North Sycamore Street",23803-3245,51.0,Petersburg,VA,40060.0,-2.0,-77.403817,37.228645,2019-01-01
4276700,,Certificate,Certificate,Private For-Profit,Southwest,,,,,15125.0,6348.0,,,,,0.04,The Salon Professional Academy-Georgetown,"Georgetown, TX - 901 South IH 35",78626-5470,48.0,Georgetown,TX,12420.0,-2.0,-97.688068,30.635778,2019-01-01
4277400,,Certificate,Certificate,Private For-Profit,Great Lakes,,,,,12750.0,2831.0,,,,,0.0333,Elite Academy of Hair Design,"Bellaire, OH - 3200 Guernsey Street",43906-1544,39.0,Bellaire,OH,48540.0,-2.0,-80.744005,40.014519,2019-01-01
4276100,,Bachelor,Bachelor,Private Non-Profit,Southeast,,,5240.0,5240.0,,6477.0,2667.0,,,,0.0,Champion Christian College,"Hot Springs, AR - 600 Garland Avenue",71913,5.0,Hot Springs,AR,26300.0,284.0,-93.065945,34.499589,2019-01-01
4275200,,Certificate,Certificate,Private For-Profit,Great Lakes,,,,,17995.0,30924.0,,,,,0.0,DSDT,"Detroit, MI - 1759 W. 20th Street",48216,26.0,Detroit,MI,19820.0,220.0,-83.081501,42.325621,2019-01-01
2612701,,Certificate,Certificate,Private For-Profit,Southeast,,,,,14500.0,7739.0,,,0.033,,0.7857,The Salon Professional Academy-Delray Beach,"Delray Beach, FL - 14610 South Military Trail, Ste G-4",33484-0000,12.0,Delray Beach,FL,33100.0,370.0,-80.119045,26.46095,2019-01-01
4223501,,Certificate,Certificate,Private For-Profit,Plains,,,,,12575.0,23844.0,,,0.15,,0.3333,Lynnes Welding Training-Bismarck,"Bismarck, ND - 4329 Centurion Drive Unit 9",58504-7593,38.0,Bismarck,ND,13900.0,-2.0,-100.754736,46.756353,2019-01-01
3670302,,Certificate,Certificate,Private For-Profit,Rocky Mountains,,,,,15960.0,408.0,,,0.045,,0.807,Toni & Guy Hairdressing Academy-Idaho,"Coeur D'Alene, ID - 410 W Neider Ave Suite B",83815-8381,16.0,Coeur D'Alene,ID,17660.0,518.0,-116.793653,47.70594,2019-01-01
4179902,,Certificate,Certificate,Private For-Profit,Southeast,,,,,18272.0,233.0,,,0.595,,0.75,No Grease Barber School,"Charlotte, NC - 3120 Wilkinson Blvd",28208,37.0,Charlotte,NC,16740.0,172.0,-80.891804,35.224657,2019-01-01
2217125,,Certificate,Certificate,Private For-Profit,Far West,,,,,14299.0,705.0,5021.0,,0.07,,0.8866,Pima Medical Institute-San Marcos,"San Marcos, CA - 111 Campus Way",92078-8702,6.0,San Marcos,CA,41740.0,-2.0,-117.160199,33.136906,2019-01-01
